arm,target,split_seed,criterion,layer,probe,hg_kind,r2,within_r2,concordance,top1,regret_norm_mean,kendall_tau,val_score,n_params,date,phase,output_path
MDLM_anc,A_pertok,0,within_r2,3,P0_cheap,hg,0.5166937701699063,0.5594392852814021,0.7785555555555556,0.41333333333333333,0.1593822761290729,0.5571111111111111,0.5503232036011703,101,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P0_hi,hg,0.1770427158211395,0.08796871510055415,0.5986666666666667,0.24166666666666667,0.32998676568536867,0.19733333333333333,0.07914347677594802,769,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P0_hg,hg,-2.8554170006345108,0.0,0.5,0.15166666666666667,0.5055533549805754,nan,0.0,769,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P0_hi_hg,hg,0.22690572886878546,0.14100705023889737,0.6211111111111111,0.23833333333333334,0.29889496621561856,0.2422222222222222,0.14174069974848935,1537,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P0_cheap+hi,hg,0.5265525386622933,0.5670779025555397,0.7783333333333333,0.43,0.16071013979097543,0.5566666666666666,0.5562140666803872,869,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P0_cheap+H,hg,0.5319426552399297,0.5795553488494618,0.7861111111111111,0.44333333333333336,0.14945499921003455,0.5722222222222222,0.5697136952579177,1637,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r2,hg,0.3946570508654099,0.4654536034398117,0.7641111111111111,0.4166666666666667,0.1731012747451725,0.5282222222222223,0.5088661461571529,872,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r4,hg,0.3257651766307046,0.3938291844263795,0.7471111111111111,0.39166666666666666,0.180392979117456,0.4942222222222222,0.443382376065226,1384,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r8,hg,0.10291981274293838,0.13087145861575722,0.7218888888888889,0.3983333333333333,0.20356141405139744,0.44377777777777777,0.30675038958110046,2408,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r16,hg,-0.3973176237764211,-0.3361764706935455,0.6932222222222222,0.345,0.23668053798072686,0.3864444444444445,-0.18197624675479918,4456,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r32,hg,-2.5668713918233275,-2.8877272996797427,0.6253333333333333,0.24166666666666667,0.3033792335421464,0.25066666666666665,-2.112962078686563,8552,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r64,hg,-11.068284163052562,-13.163119415936825,0.5786666666666667,0.2683333333333333,0.32046485084076465,0.15733333333333333,-9.626654960117385,16744,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_best,hg,0.3946570508654099,0.4654536034398117,0.7641111111111111,0.4166666666666667,0.1731012747451725,0.5282222222222223,0.5088661461571529,872,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2_bilinear_r1,hg,0.46001372645345706,0.5247758531098143,0.7702222222222223,0.44333333333333336,0.15839634893749077,0.5404444444444444,0.5343358510971198,616,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2k_kron_d16,hg,0.5254766015485061,0.5659672470400361,0.7816666666666666,0.4166666666666667,0.15874596235606864,0.5633333333333334,0.5556598217918858,389,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
